century	prenominal	postnominal	total	postnominal_genitive	text	weight	type
9	1	1	2	0.5	cocuraC.psd	Light	CommonN
10	33	7	40	0.175	cogregdH.o23.psd	Light	CommonN
11	4	1	5	0.2	colaw1cn.o3.psd	Light	CommonN
9	3	1	4	0.25	colawafint.o2.psd	Light	CommonN
10	4	0	4	0	comargaC.o34.psd	Light	CommonN
11	12	0	12	0	comargaT.psd	Light	CommonN
9	2	0	2	0	comart1.psd	Light	CommonN
9	16	0	16	0	comart2.psd	Light	CommonN
9	67	4	71	0.056338028	comart3.o23.psd	Light	CommonN
9	18	3	21	0.142857143	comary.psd	Light	CommonN
10	4	0	4	0	coneot.psd	Light	CommonN
9	15	0	15	0	conicodA.psd	Light	CommonN
9	12	0	12	0	conicodC.psd	Light	CommonN
9	10	0	10	0	conicodD.psd	Light	CommonN
9	5	0	5	0	conicodE.psd	Light	CommonN
11	2	0	2	0	coprefcath1.o3.psd	Light	CommonN
11	151	1	152	0.006578947	coquadru.o23.psd	Light	CommonN
9	25	0	25	0	cosolilo.psd	Light	CommonN
10	96	5	101	0.04950495	cobenrul.o3.psd	Light	CommonN
10	151	9	160	0.05625	coblick.o23.psd	Light	CommonN
10	90	8	98	0.081632653	cochdrul.psd	Light	CommonN
10	9	0	9	0	coeuphr.psd	Light	CommonN
10	181	0	181	0	coherbar.psd	Light	CommonN
11	11	1	12	0.083333333	coinspolD.o34.psd	Light	CommonN
9	20	0	20	0	comarvel.o23.psd	Light	CommonN
10	8	2	10	0.2	cosevensl.psd	Light	CommonN
10	211	8	219	0.03652968	coverhom.psd	Light	CommonN
10	12	0	12	0	coverhomE.psd	Light	CommonN
10	12	1	13	0.076923077	coverhomL.psd	Light	CommonN
10	255	8	263	0.030418251	cowsgosp.o3.psd	Light	CommonN
11	79	3	82	0.036585366	coaelhom.o3.psd	Light	CommonN
11	100	9	109	0.082568807	coaelive.o3.psd	Light	CommonN
11	20	3	23	0.130434783	coalcuin.psd	Light	CommonN
11	6	6	12	0.5	coapollo.o3.psd	Light	CommonN
11	2	0	2	0	cobyrhtf.o3.psd	Light	CommonN
11	5	0	5	0	cocanedgD.psd	Light	CommonN
11	7	0	7	0	cocanedgX.psd	Light	CommonN
11	262	11	273	0.04029304	cocathom1.o3.psd	Light	CommonN
11	223	9	232	0.038793103	cocathom2.o3.psd	Light	CommonN
10	3	0	3	0	codicts.o34.psd	Light	CommonN
10	2	1	3	0.333333333	codocu2.o2.psd	Light	CommonN
11	4	6	10	0.6	codocu3.o3.psd	Light	CommonN
11	2	0	2	0	coeluc1.psd	Light	CommonN
11	1	0	1	0	coepigen.o3.psd	Light	CommonN
11	14	0	14	0	coeust.psd	Light	CommonN
11	2	0	2	0	cogenesiC.psd	Light	CommonN
9	116	13	129	0.100775194	cogregdC.o24.psd	Light	CommonN
11	21	1	22	0.045454545	coinspolX.psd	Light	CommonN
11	5	0	5	0	cojames.psd	Light	CommonN
11	106	0	106	0	colacnu.o23.psd	Light	CommonN
9	434	19	453	0.041942605	colaece.o2.psd	Light	CommonN
11	10	3	13	0.230769231	colaw2cn.o3.psd	Light	CommonN
11	2	0	2	0	colaw5atr.o3.psd	Light	CommonN
11	11	0	11	0	colaw6atr.o3.psd	Light	CommonN
9	27	0	27	0	colawaf.o2.psd	Light	CommonN
11	5	0	5	0	colawger.o34.psd	Light	CommonN
11	13	0	13	0	colawnorthu.o3.psd	Light	CommonN
11	2	0	2	0	colsigef.o3.psd	Light	CommonN
11	5	1	6	0.166666667	colsigewB.psd	Light	CommonN
11	17	1	18	0.055555556	colsigewZ.o34.psd	Light	CommonN
11	1	0	1	0	colwgeat.psd	Light	CommonN
11	1	1	2	0.5	colwsigeXa.o34.psd	Light	CommonN
11	9	0	9	0	colwstan1.o3.psd	Light	CommonN
11	5	0	5	0	colwstan2.o3.psd	Light	CommonN
9	36	6	42	0.142857143	coorosiu.o2.psd	Light	CommonN
11	65	5	70	0.071428571	cootest.o3.psd	Light	CommonN
11	1	0	1	0	coprefgen.o3.psd	Light	CommonN
11	8	1	9	0.111111111	cosolsat1.o4.psd	Light	CommonN
11	3	0	3	0	cosolsat2.psd	Light	CommonN
11	7	2	9	0.222222222	cotempo.o3.psd	Light	CommonN
11	54	3	57	0.052631579	cowulf.o34.psd	Light	CommonN
11	1	0	1	0	colaw1cn.o3.psd	Modified	ProperN
9	0	1	1	1	coalex.o23.psd	Modified	ProperN
9	1	27	28	0.964285714	cobede.o2.psd	Modified	ProperN
9	0	7	7	1	coboeth.o2.psd	Modified	ProperN
9	0	1	1	1	cochronA.o23.psd	Modified	ProperN
9	3	5	8	0.625	cocura.o2.psd	Modified	ProperN
9	1	2	3	0.666666667	cogregdC.o24.psd	Modified	ProperN
11	1	0	1	0	colaw6atr.o3.psd	Modified	ProperN
9	1	0	1	0	comart3.o23.psd	Modified	ProperN
9	2	0	2	0	comary.psd	Modified	ProperN
9	8	0	8	0	coorosiu.o2.psd	Modified	ProperN
10	2	4	6	0.666666667	coblick.o23.psd	Modified	ProperN
10	1	0	1	0	cogregdH.o23.psd	Modified	ProperN
10	1	2	3	0.666666667	coverhom.psd	Modified	ProperN
10	0	1	1	1	coverhomE.psd	Modified	ProperN
10	1	2	3	0.666666667	cowsgosp.o3.psd	Modified	ProperN
11	4	0	4	0	coaelhom.o3.psd	Modified	ProperN
11	4	2	6	0.333333333	coaelive.o3.psd	Modified	ProperN
11	3	3	6	0.5	cocathom1.o3.psd	Modified	ProperN
11	3	0	3	0	cocathom2.o3.psd	Modified	ProperN
11	0	1	1	1	cogenesiC.psd	Modified	ProperN
11	2	0	2	0	coinspolD.o34.psd	Modified	ProperN
11	3	0	3	0	coinspolX.psd	Modified	ProperN
11	1	0	1	0	colsigewB.psd	Modified	ProperN
11	2	0	2	0	colsigewZ.o34.psd	Modified	ProperN
11	12	1	13	0.076923077	cootest.o3.psd	Modified	ProperN
11	14	0	14	0	cowulf.o34.psd	Modified	ProperN
10	1	0	1	0	cosevensl.psd	Modified	ProperN
9	1	10	11	0.909090909	coalex.o23.psd	Modified	D+CommonN
9	0	46	46	1	cobede.o2.psd	Modified	D+CommonN
9	4	21	25	0.84	coboeth.o2.psd	Modified	D+CommonN
9	0	1	1	1	cochristoph.psd	Modified	D+CommonN
9	0	4	4	1	cochronA.o23.psd	Modified	D+CommonN
9	1	23	24	0.958333333	cocura.o2.psd	Modified	D+CommonN
10	2	14	16	0.875	cogregdH.o23.psd	Modified	D+CommonN
9	0	1	1	1	comart1.psd	Modified	D+CommonN
9	0	11	11	1	comart2.psd	Modified	D+CommonN
9	1	113	114	0.99122807	comart3.o23.psd	Modified	D+CommonN
9	0	8	8	1	comary.psd	Modified	D+CommonN
9	0	2	2	1	conicodA.psd	Modified	D+CommonN
9	0	1	1	1	conicodC.psd	Modified	D+CommonN
9	0	4	4	1	conicodD.psd	Modified	D+CommonN
9	0	1	1	1	conicodE.psd	Modified	D+CommonN
9	0	1	1	1	coprefcura.o2.psd	Modified	D+CommonN
10	0	5	5	1	cobenrul.o3.psd	Modified	D+CommonN
10	0	13	13	1	coblick.o23.psd	Modified	D+CommonN
10	0	7	7	1	cochdrul.psd	Modified	D+CommonN
10	6	13	19	0.684210526	coherbar.psd	Modified	D+CommonN
10	0	3	3	1	corood.psd	Modified	D+CommonN
10	2	1	3	0.333333333	cosevensl.psd	Modified	D+CommonN
10	1	24	25	0.96	coverhom.psd	Modified	D+CommonN
10	1	10	11	0.909090909	cowsgosp.o3.psd	Modified	D+CommonN
11	2	17	19	0.894736842	coaelhom.o3.psd	Modified	D+CommonN
11	2	5	7	0.714285714	coaelive.o3.psd	Modified	D+CommonN
11	0	3	3	1	coalcuin.psd	Modified	D+CommonN
11	1	3	4	0.75	coapollo.o3.psd	Modified	D+CommonN
11	0	2	2	1	cobyrhtf.o3.psd	Modified	D+CommonN
11	4	22	26	0.846153846	cocathom1.o3.psd	Modified	D+CommonN
11	1	23	24	0.958333333	cocathom2.o3.psd	Modified	D+CommonN
11	0	1	1	1	coeust.psd	Modified	D+CommonN
9	4	81	85	0.952941176	cogregdC.o24.psd	Modified	D+CommonN
11	1	3	4	0.75	colacnu.o23.psd	Modified	D+CommonN
9	10	17	27	0.62962963	colaece.o2.psd	Modified	D+CommonN
9	3	1	4	0.25	colawaf.o2.psd	Modified	D+CommonN
11	0	2	2	1	colsigewB.psd	Modified	D+CommonN
11	0	6	6	1	colsigewZ.o34.psd	Modified	D+CommonN
11	0	1	1	1	colwsigeXa.o34.psd	Modified	D+CommonN
9	4	15	19	0.789473684	coorosiu.o2.psd	Modified	D+CommonN
11	2	9	11	0.818181818	cootest.o3.psd	Modified	D+CommonN
11	1	6	7	0.857142857	cotempo.o3.psd	Modified	D+CommonN
9	2	7	9	0.777777778	coalex.o23.psd	Modified	CommonN
9	0	51	51	1	cobede.o2.psd	Modified	CommonN
9	0	11	11	1	coboeth.o2.psd	Modified	CommonN
9	1	5	6	0.833333333	cochronA.o23.psd	Modified	CommonN
9	1	3	4	0.75	cocura.o2.psd	Modified	CommonN
9	0	1	1	1	cocuraC.psd	Modified	CommonN
